Report_ID,Report.Status,Publication.Date,Injury.Severity,Broad.phase.of.flight,Weather.Condition,Location,Investigation.Type
4025,Probable Cause,2/27/1985,Non-Fatal,Takeoff,VMC,"MINA, NV",Incident
4026,Probable Cause,2/28/1985,Non-Fatal,Takeoff,VMC,"FIDDLETOWN, CA",Accident
4027,Probable Cause,3/1/1985,Fatal(1),Cruise,IMC,"WADLEY, GA",Accident
4028,Probable Cause,3/2/1985,Incident,Landing,VMC,"ULTSSES, KS",Accident
4029,Probable Cause,3/3/1985,Non-Fatal,Takeoff,VMC,"BAKERSFIELD, CA",Accident
4030,Probable Cause,3/4/1985,Non-Fatal,Landing,VMC,"CONCORD, CA",Accident
4031,Probable Cause,3/5/1985,Fatal(1),Unknown,VMC,"BRECIPROCATINGKENRIDGE, TX",Accident
4032,Probable Cause,3/6/1985,Non-Fatal,Takeoff,VMC,"FORT BELVOIR, VA",Accident
4033,Probable Cause,3/7/1985,Incident,,VMC,"PEDRO BAY, AK",Accident
4034,Probable Cause,3/8/1985,Fatal(3),Cruise,IMC,"DAGGETT, CA",Accident
4035,Probable Cause,3/9/1985,Fatal(1),Maneuvering,VMC,"SPRINGTOWN, TX",Accident
4036,Probable Cause,3/10/1985,Incident,Cruise,VMC,"KINGSTON, OK",Accident
4037,Probable Cause,3/11/1985,Non-Fatal,Cruise,VMC,"FORT BELVOIR, VA",Accident
4038,Probable Cause,3/12/1985,Fatal(1),Cruise,VMC,"BUENA VISTA, PA",Accident
4039,Probable Cause,3/13/1985,Non-Fatal,Takeoff,VMC,"FRESNO, CA",Accident
4040,Probable Cause,3/14/1985,Fatal(1),Approach,VMC,"BAGGS, WY",Accident
4041,Probable Cause,3/15/1985,Non-Fatal,Takeoff,VMC,"BENNETT, CO",Accident
4042,Probable Cause,3/16/1985,Fatal(1),Maneuvering,VMC,"AUGUSTA, MI",Accident
4043,Probable Cause,3/17/1985,Fatal(1),Cruise,VMC,"GARDEN CITY, MN",Accident
4044,Probable Cause,3/18/1985,Fatal(1),Cruise,IMC,"ALBANY, NY",Accident
4045,Probable Cause,3/19/1985,Non-Fatal,Takeoff,VMC,"GLENNS FERRY, ID",Accident
4046,Probable Cause,3/20/1985,Fatal(2),Approach,VMC,"CHATSWORTH, CA",Accident
4047,Probable Cause,3/21/1985,Non-Fatal,Maneuvering,VMC,"SHAWNEE, OK",Accident
4048,Probable Cause,3/22/1985,Non-Fatal,Takeoff,VMC,"DANVERS, IL",Accident
4049,Probable Cause,3/23/1985,Non-Fatal,Taxi,VMC,"SOUTHSIDE, AL",Accident
4050,Probable Cause,3/24/1985,Non-Fatal,Landing,VMC,"ESCALON, CA",Accident
4051,Probable Cause,3/25/1985,Non-Fatal,Approach,VMC,"SHEFFIELD, TX",Accident
4052,Probable Cause,3/26/1985,Non-Fatal,Go-around,VMC,"COALVILLE, UT",Accident
4053,Probable Cause,3/27/1985,Non-Fatal,Landing,VMC,"NORTHOME, MN",Accident
4054,Probable Cause,3/28/1985,Fatal(2),Cruise,IMC,"JASPER, AL",Accident
4055,Probable Cause,3/29/1985,Fatal(1),Descent,VMC,"CHAMBLEE, GA",Accident
4056,Probable Cause,3/30/1985,Non-Fatal,Landing,VMC,"GLENNALLEN, AK",Accident
4057,Probable Cause,3/31/1985,Non-Fatal,Maneuvering,VMC,"CHUGIAK, AK",Accident
4058,Probable Cause,4/1/1985,Non-Fatal,Landing,VMC,"LAKELAND, FL",Accident
4059,Probable Cause,4/2/1985,Non-Fatal,Cruise,VMC,"ST. LOUIS, MO",Accident
4060,Probable Cause,4/3/1985,Non-Fatal,Takeoff,VMC,"ATHENS, LA",Accident
4061,Probable Cause,4/4/1985,Fatal(2),Cruise,IMC,"WAUKEGAN, IL",Accident
4062,Probable Cause,4/5/1985,Non-Fatal,Takeoff,VMC,"WHEELING, IL",Accident
4063,Probable Cause,4/6/1985,Non-Fatal,Descent,VMC,"BOWLING GREEN, KY",Accident
4064,Probable Cause,4/7/1985,Non-Fatal,Landing,VMC,"NORRIDGEWOCK, ME",Accident
4065,Probable Cause,4/8/1985,Non-Fatal,Cruise,VMC,"LAKELAND, FL",Accident
4066,Probable Cause,4/9/1985,Non-Fatal,Descent,VMC,"MESA, AZ",Accident
4067,Probable Cause,4/10/1985,Non-Fatal,Landing,VMC,"WOODINVILLE, WA",Accident
4068,Probable Cause,4/11/1985,Non-Fatal,Landing,VMC,"GREENFIELD, MO",Accident
4069,Probable Cause,4/12/1985,Non-Fatal,Approach,VMC,"RAMON, NM",Accident
4070,Probable Cause,4/13/1985,Non-Fatal,Taxi,VMC,"PRINCTON, MN",Accident
4071,Probable Cause,4/14/1985,Non-Fatal,Takeoff,VMC,"MIWAULKEE, WI",Accident
4072,Probable Cause,4/15/1985,Fatal(2),Maneuvering,VMC,"KANSAS CITY, KS",Incident
4073,Probable Cause,4/16/1985,Non-Fatal,Cruise,VMC,"WAVERLY, GA",Accident
4074,Probable Cause,4/17/1985,Non-Fatal,Landing,VMC,"TOPPENISH, WA",Accident
4075,Probable Cause,4/18/1985,Non-Fatal,Cruise,VMC,"PLAINVILLE, CT",Accident
4076,Probable Cause,4/19/1985,Non-Fatal,Landing,VMC,"CORCORAN, CA",Accident
4077,Probable Cause,4/20/1985,Non-Fatal,Takeoff,VMC,"TIPTON, CA",Accident
4078,Probable Cause,4/21/1985,Non-Fatal,Landing,VMC,"CLARKSBURG, CA",Accident
4079,Probable Cause,4/22/1985,Non-Fatal,Landing,IMC,"OKLAHOMA CITY, OK",Accident
4080,Probable Cause,4/23/1985,Non-Fatal,Climb,VMC,"HOUSTON, TX",Accident
4081,Probable Cause,4/24/1985,Incident,Climb,VMC,"MCALLEN, TX",Accident
4082,Probable Cause,4/25/1985,Fatal(2),Descent,VMC,"COLUMBUS, OH",Accident
4083,Probable Cause,4/26/1985,Non-Fatal,Approach,VMC,LAJAS,Accident
4084,Probable Cause,4/27/1985,Non-Fatal,Cruise,VMC,"SALT LAKE CITY, UT",Incident
4085,Probable Cause,4/28/1985,Non-Fatal,Maneuvering,VMC,"DFW AIRPORT, TX",Accident
4086,Probable Cause,4/29/1985,Non-Fatal,Takeoff,VMC,"DOS PALOS, CA",Accident
4087,Probable Cause,4/30/1985,Non-Fatal,Takeoff,VMC,"MT. CARMEL, IL",Accident
4088,Probable Cause,5/1/1985,Non-Fatal,Approach,VMC,"MANSFIELD, OH",Accident
4089,Probable Cause,5/2/1985,Non-Fatal,Landing,VMC,"IRWIN, OH",Accident
4090,Probable Cause,5/3/1985,Non-Fatal,Landing,VMC,"CARSON CITY, MI",Accident
4091,Probable Cause,5/4/1985,Non-Fatal,Landing,VMC,"DFW AIRPORT, TX",Accident
4092,Probable Cause,5/5/1985,Fatal(3),Takeoff,VMC,"LONGVIEW, WA",Accident
4093,Probable Cause,5/6/1985,Non-Fatal,Takeoff,VMC,"NORTH ADAMS, MA",Accident
4094,Probable Cause,5/7/1985,Non-Fatal,Approach,VMC,"LOS ANGELES, CA",Incident
4095,Probable Cause,5/8/1985,Non-Fatal,Landing,VMC,"LOS ANGELES, CA",Incident
4096,Probable Cause,5/9/1985,Non-Fatal,Maneuvering,VMC,"ST. PETERSBURG, FL",Accident
4097,Probable Cause,5/10/1985,Fatal(1),Maneuvering,VMC,"SAN MANUEL, AZ",Accident
4098,Probable Cause,5/11/1985,Non-Fatal,Landing,VMC,"GUTHRIE, OK",Accident
4099,Probable Cause,5/12/1985,Non-Fatal,Go-around,VMC,"TORREON, NM",Accident
4100,Probable Cause,5/13/1985,Non-Fatal,Landing,IMC,"GUNNISON, CO",Accident
4101,Probable Cause,5/14/1985,Fatal(1),Maneuvering,VMC,"FORT COLLINS, CO",Accident
4102,Probable Cause,5/15/1985,Fatal(2),Cruise,IMC,"NEAR TAYLOR, FL",Incident
4103,Probable Cause,5/16/1985,Fatal(2),Landing,VMC,"LITTLEFIELD, AZ",Accident
4104,Probable Cause,5/17/1985,Fatal(2),Cruise,IMC,"TRINITY CENTER, CA",Accident
4105,Probable Cause,5/18/1985,Fatal(1),Maneuvering,VMC,"STONE MOUNTAIN, GA",Accident
4106,Probable Cause,5/19/1985,Non-Fatal,Cruise,VMC,"PALMER, AK",Incident
4107,Probable Cause,5/20/1985,Non-Fatal,Maneuvering,VMC,"LAKELAND, FL",Accident
4108,Probable Cause,5/21/1985,Non-Fatal,Cruise,VMC,"DEFUNIAK SPRING, FL",Accident
4109,Probable Cause,5/22/1985,Non-Fatal,Landing,VMC,"HIGHSPRINGS, FL",Accident
4110,Probable Cause,5/23/1985,Non-Fatal,Taxi,VMC,"NEAR LAKELAND, FL",Accident
4111,Probable Cause,5/24/1985,Non-Fatal,Landing,VMC,"EL DORADO, AR",Accident
4112,Probable Cause,5/25/1985,Non-Fatal,Landing,VMC,"BREMERTON, WA",Accident
4113,Probable Cause,5/26/1985,Non-Fatal,Cruise,VMC,"FORT LAUDERDALE, FL",Accident
4114,Probable Cause,5/27/1985,Non-Fatal,Maneuvering,VMC,"TAMPA, FL",Accident
4115,Probable Cause,5/28/1985,Fatal(2),Cruise,VMC,"DOS PALOS, CA",Accident
4116,Probable Cause,5/29/1985,Non-Fatal,Approach,VMC,"CROSSVILLE, TN",Accident
4117,Probable Cause,5/30/1985,Non-Fatal,Landing,VMC,"TELMA, WA",Accident
4118,Probable Cause,5/31/1985,Non-Fatal,Landing,VMC,"NEW HAVEN, CT",Accident
4119,Probable Cause,6/1/1985,Non-Fatal,Approach,VMC,"FT. LAUDERDALE, FL",Accident
4120,Probable Cause,6/2/1985,Non-Fatal,Takeoff,UNK,"MARANA, AZ",Accident
4121,Probable Cause,6/3/1985,Non-Fatal,Takeoff,VMC,"OSHKOSH, WI",Accident
4122,Probable Cause,6/4/1985,Non-Fatal,Landing,VMC,"CHUGIAK, AK",Accident
4123,Probable Cause,6/5/1985,Non-Fatal,Takeoff,VMC,"BLUE BELL, PA",Incident
4124,Probable Cause,6/6/1985,Non-Fatal,Landing,VMC,"NEAR PALA, CA",Accident
4125,Probable Cause,6/7/1985,Non-Fatal,Other,VMC,"DENVER, CO",Incident
4126,Probable Cause,6/8/1985,Non-Fatal,Cruise,IMC,"ROCHESTER, IL",Accident
4127,Probable Cause,6/9/1985,Non-Fatal,Landing,VMC,"SANDSTONE, MN",Accident
4128,Probable Cause,6/10/1985,Incident,Cruise,VMC,"HEBER CITY, UT",Accident
4129,Probable Cause,6/11/1985,Fatal(2),Approach,IMC,"SALINAS, CA",Accident
4130,Probable Cause,6/12/1985,Non-Fatal,Landing,VMC,"FARMINGDALE, NJ",Accident
4131,Probable Cause,6/13/1985,Non-Fatal,Landing,VMC,"SPRINGFIELD, MO",Accident
4132,Probable Cause,6/14/1985,Non-Fatal,Takeoff,VMC,"NEILSVILLE, WI",Accident
4133,Probable Cause,6/15/1985,Non-Fatal,Takeoff,VMC,"SALT FLAT, TX",Accident
4134,Probable Cause,6/16/1985,Non-Fatal,Takeoff,VMC,"CASPER, WY",Accident
4135,Probable Cause,6/17/1985,Non-Fatal,Landing,IMC,"JACKSONVILLE, NC",Accident
4136,Probable Cause,6/18/1985,Non-Fatal,Takeoff,IMC,"LANTANA, FL",Accident
4137,Probable Cause,6/19/1985,Non-Fatal,Taxi,VMC,"HUNTSVILLE, UT",Accident
4138,Probable Cause,6/20/1985,Non-Fatal,Landing,VMC,"MOUNTAIN CITY, TN",Accident
4139,Probable Cause,6/21/1985,Non-Fatal,Landing,UNK,"RAMPART, AK",Accident
4140,Probable Cause,6/22/1985,Incident,Climb,IMC,HIGH ISLAND,Accident
4141,Probable Cause,6/23/1985,Non-Fatal,Taxi,VMC,"SPRINGFIELD, MO",Incident
4142,Probable Cause,6/24/1985,Non-Fatal,Landing,VMC,"NR LIHUE ARPT, HI",Accident
4143,Probable Cause,6/25/1985,Non-Fatal,Landing,VMC,"SEDONA, AZ",Accident
4144,Probable Cause,6/26/1985,Non-Fatal,Cruise,VMC,"JEFFERSONVILLE, GA",Accident
4145,Probable Cause,6/27/1985,Non-Fatal,Go-around,VMC,"NEAR GLOBE, AZ",Accident
4146,Probable Cause,6/28/1985,Non-Fatal,Landing,VMC,"NEWELLTON, LA",Accident
4147,Probable Cause,6/29/1985,Non-Fatal,Cruise,VMC,"HOUSTON, MS",Accident
4148,Probable Cause,6/30/1985,Non-Fatal,Cruise,VMC,"SILVER SPRINGS, FL",Accident
4149,Probable Cause,7/1/1985,Fatal(2),Maneuvering,VMC,"SHELBYVILLE, TN",Accident
4150,Probable Cause,4/12/2014,Incident,Standing,VMC,"GREENVILLE, ME",Accident
4151,Probable Cause,4/12/2014,Incident,Taxi,VMC,"THORNTON, IA",Accident
4152,Probable Cause,7/2/1985,Non-Fatal,Maneuvering,VMC,"WAYCROSS, GA",Accident
4153,Probable Cause,7/3/1985,Non-Fatal,Maneuvering,VMC,"CENTERVILLE, TN",Accident
4154,Probable Cause,7/4/1985,Non-Fatal,Taxi,VMC,"SYRACUSE, NY",Accident
4155,Probable Cause,7/5/1985,Non-Fatal,Cruise,VMC,"RANCHO BERNARDO, CA",Accident
4156,Probable Cause,7/6/1985,Non-Fatal,Takeoff,VMC,"LONG BEACH, CA",Accident
4157,Probable Cause,7/7/1985,Non-Fatal,Landing,IMC,"BENSON, AZ",Accident
4158,Probable Cause,7/8/1985,Incident,Cruise,VMC,"ROCHESTER, IN",Accident
4159,Probable Cause,7/9/1985,Fatal(1),Maneuvering,VMC,"SALEM, MO",Accident
4160,Probable Cause,7/10/1985,Fatal(2),Cruise,UNK,"TORRANCE, CA",Accident
4161,Probable Cause,7/11/1985,Non-Fatal,Takeoff,VMC,"ESCONDIDO, CA",Accident
4162,Probable Cause,7/12/1985,Incident,Takeoff,VMC,"COBB, CA",Accident
4163,Probable Cause,7/13/1985,Non-Fatal,Takeoff,VMC,"SALT LAKE CITY, UT",Accident
4164,Probable Cause,7/14/1985,Non-Fatal,Cruise,VMC,"WAVERLY, WA",Accident
4165,Probable Cause,7/15/1985,Non-Fatal,Approach,VMC,"DAYTONA BEACH, FL",Accident
4166,Probable Cause,7/16/1985,Non-Fatal,Landing,VMC,"STANFIELD, AZ",Accident
4167,Probable Cause,7/17/1985,Non-Fatal,Takeoff,VMC,"GLENDALE, AZ",Accident
4168,Probable Cause,7/18/1985,Non-Fatal,Approach,VMC,"UPLAND, CA",Accident
4169,Probable Cause,7/19/1985,Fatal(1),Maneuvering,VMC,"COLUMBUS, OH",Accident
4170,Probable Cause,7/20/1985,Non-Fatal,Takeoff,IMC,"HEALY, AK",Accident
4171,Probable Cause,7/21/1985,Fatal(1),Maneuvering,VMC,"WAUSEON, OH",Accident
4172,Probable Cause,2/5/2011,Fatal(1),Cruise,IMC,"GLENDIVE, MT",Accident
4173,Probable Cause,7/22/1985,Non-Fatal,Takeoff,VMC,"ROANOKE, VA",Accident
4174,Probable Cause,7/23/1985,Non-Fatal,Landing,VMC,"OCALA, FL",Accident
4175,Probable Cause,7/24/1985,Fatal(1),Landing,VMC,"GORMAN, CA",Accident
4176,Probable Cause,7/25/1985,Non-Fatal,Cruise,VMC,"HOLBROOK, AZ",Accident
4177,Probable Cause,7/26/1985,Non-Fatal,Taxi,VMC,"COULTERVILLE, CA",Accident
4178,Probable Cause,7/27/1985,Non-Fatal,Takeoff,VMC,"WORLAND, WY",Accident
4179,Probable Cause,7/28/1985,Incident,Cruise,IMC,"AURORA, CO",Accident
4180,Probable Cause,7/29/1985,Fatal(2),Cruise,IMC,"INT.COASTAL CTY, LA",Accident
4181,Probable Cause,7/30/1985,Incident,Takeoff,VMC,"EEK, AK",Incident
4182,Probable Cause,7/31/1985,Fatal(1),Descent,VMC,"ANTHONY, KS",Accident
4183,Probable Cause,8/1/1985,Non-Fatal,Landing,VMC,"MOUNTAIN PARK, OK",Accident
4184,Probable Cause,8/2/1985,Non-Fatal,Maneuvering,VMC,"INDIANAPOLIS, IN",Accident
4185,Probable Cause,8/3/1985,Fatal(1),Descent,VMC,"NORTH CANTON, OH",Accident
4186,Probable Cause,8/4/1985,Non-Fatal,Taxi,VMC,"WARREN, MN",Accident
4187,Probable Cause,8/5/1985,Non-Fatal,Taxi,VMC,,Accident
4188,Probable Cause,8/6/1985,Non-Fatal,Cruise,VMC,"GLENDALE, AZ",Accident
4189,Probable Cause,8/7/1985,Fatal(3),Cruise,VMC,"LOST HILLS, CA",Accident
4190,Probable Cause,8/8/1985,Non-Fatal,Landing,VMC,"EL PASO, TX",Accident
4191,Probable Cause,8/9/1985,Non-Fatal,Go-around,VMC,"FRASER, MI",Accident
4192,Probable Cause,8/10/1985,Non-Fatal,Takeoff,VMC,"DES MOINES, IA",Incident
4193,Probable Cause,8/11/1985,Non-Fatal,Cruise,IMC,"PALM BEACH, FL",Accident
4194,Probable Cause,8/12/1985,Non-Fatal,Landing,VMC,"MIAMI, FL",Accident
4195,Probable Cause,8/13/1985,Non-Fatal,Takeoff,VMC,"GEORGETOWN, CA",Accident
4196,Probable Cause,8/14/1985,Non-Fatal,Descent,VMC,"ENID, OK",Accident
4197,Probable Cause,8/15/1985,Incident,Taxi,VMC,"CRAIG, CO",Accident
4198,Probable Cause,8/16/1985,Fatal(1),Maneuvering,VMC,"NEWARK, NJ",Accident
4199,Probable Cause,8/17/1985,Fatal(3),Cruise,IMC,"HOMESTEAD, FL",Accident
4200,Probable Cause,8/18/1985,Fatal(4),Cruise,UNK,"LOS LUNAS, NM",Accident
4201,Probable Cause,8/19/1985,Non-Fatal,Cruise,VMC,"ASPEN, CO",Accident
4202,Probable Cause,8/20/1985,Non-Fatal,Takeoff,VMC,"MANSFIELD, OH",Accident
4203,Probable Cause,8/21/1985,Non-Fatal,Takeoff,VMC,"NEW CHURCH, VA",Accident
4204,Probable Cause,8/22/1985,Non-Fatal,Go-around,VMC,"W. CLAM GULCH, AK",Accident
4205,Probable Cause,8/23/1985,Non-Fatal,Approach,VMC,"LEHIGHTON, PA",Accident
4206,Probable Cause,8/24/1985,Non-Fatal,Approach,VMC,"BETHANY, OK",Accident
4207,Probable Cause,8/25/1985,Fatal(1),Maneuvering,VMC,"KANAB, UT",Accident
4208,Probable Cause,8/26/1985,Non-Fatal,Approach,VMC,"MILTONA, MN",Accident
4209,Probable Cause,8/27/1985,Non-Fatal,Maneuvering,VMC,"VANCOUVER, WA",Accident
4210,Probable Cause,8/28/1985,Non-Fatal,Taxi,VMC,"BATAVIA, NY",Accident
4211,Probable Cause,8/29/1985,Non-Fatal,Maneuvering,VMC,"HIAWATHA, KS",Accident
4212,Probable Cause,8/30/1985,Non-Fatal,Landing,VMC,"CHINO, CA",Accident
4213,Probable Cause,8/31/1985,Fatal(1),Cruise,UNK,"PALO ALTO, CA",Accident
4214,Probable Cause,9/1/1985,Non-Fatal,Takeoff,VMC,"PALO ALTO, CA",Accident
4215,Probable Cause,9/2/1985,Non-Fatal,Cruise,VMC,"HOLLISTER, CA",Accident
4216,Probable Cause,9/3/1985,Fatal(1),Cruise,IMC,"ODESSA, TX",Accident
4217,Probable Cause,9/4/1985,Fatal(3),Cruise,IMC,"TOMBALL, TX",Accident
4218,Probable Cause,9/5/1985,Non-Fatal,Maneuvering,VMC,"CASTLE ROCK, CO",Accident
4219,Probable Cause,9/6/1985,Non-Fatal,Landing,VMC,"NORTH POLE, AK",Accident
4220,Probable Cause,9/7/1985,Non-Fatal,Maneuvering,VMC,"ANCHORAGE, AK",Accident
4221,Probable Cause,9/8/1985,Non-Fatal,Climb,VMC,"EAGLE PASS, TX",Accident
4222,Probable Cause,9/9/1985,Non-Fatal,Landing,VMC,"EVERETT, WA",Accident
4223,Probable Cause,9/10/1985,Non-Fatal,Approach,VMC,"PASCO, WA",Accident
4224,Probable Cause,9/11/1985,Non-Fatal,Cruise,VMC,"ST. AUGUSTINE, FL",Accident
4225,Probable Cause,9/12/1985,Non-Fatal,Landing,VMC,"NEAR MADERA, CA",Accident
4226,Probable Cause,9/13/1985,Fatal(5),Approach,IMC,"FRASER, MI",Accident
4227,Probable Cause,9/14/1985,Non-Fatal,Approach,IMC,"JEKYLL ISLAND, GA",Accident
4228,Probable Cause,9/15/1985,Non-Fatal,Climb,VMC,"DIXIE, ID",Accident
4229,Probable Cause,9/16/1985,Non-Fatal,Taxi,VMC,"CAMANO ISLAND, WA",Accident
4230,Probable Cause,9/17/1985,Non-Fatal,Cruise,IMC,"EAST HANOVER, NJ",Accident
4231,Probable Cause,9/18/1985,Non-Fatal,Cruise,VMC,"20N BRYCE, UT",Incident
4232,Probable Cause,9/19/1985,Non-Fatal,Landing,VMC,"COMPTON, CA",Accident
4233,Probable Cause,9/20/1985,Non-Fatal,Landing,VMC,"MCKINNEY, TX",Accident
4234,Probable Cause,9/21/1985,Incident,Landing,VMC,"CUERO, TX",Accident
4235,Probable Cause,9/22/1985,Non-Fatal,Maneuvering,VMC,"BALTIMORE, MD",Accident
4236,Probable Cause,9/23/1985,Non-Fatal,Takeoff,VMC,"PALMER, AK",Accident
4237,Probable Cause,9/24/1985,Non-Fatal,Landing,IMC,"CALIFORNIA CITY, CA",Accident
4238,Probable Cause,9/25/1985,Non-Fatal,Descent,IMC,"SOLOMAN, AZ",Accident
4239,Probable Cause,9/26/1985,Non-Fatal,Takeoff,VMC,"POWERS LAKE, ND",Accident
4240,Probable Cause,9/27/1985,Fatal(1),Unknown,VMC,"GLENNALLEN, AK",Accident
4241,Probable Cause,9/28/1985,Non-Fatal,Takeoff,VMC,"LIBERTY CORNER, NJ",Accident
4242,Probable Cause,9/29/1985,Non-Fatal,Landing,VMC,"CAPTREE ISLAND, NY",Accident
4243,Probable Cause,9/30/1985,Non-Fatal,Takeoff,VMC,"DALHART, TX",Accident
4244,Probable Cause,10/1/1985,Non-Fatal,Landing,VMC,"CONCORDIA, MO",Accident
4245,Probable Cause,10/2/1985,Incident,Taxi,IMC,"HILMAR, CA",Accident
4246,Probable Cause,10/3/1985,Non-Fatal,Cruise,VMC,"WAIMANALO, OAHU, HI",Accident
4247,Probable Cause,10/4/1985,Non-Fatal,Takeoff,VMC,"TUSCALOOSA, AL",Accident
4248,Probable Cause,10/5/1985,Fatal(1),Cruise,IMC,"NEAR ORLANDO, FL",Incident
4249,Probable Cause,10/6/1985,Fatal(2),Cruise,IMC,"BORING, OR",Accident
4250,Probable Cause,10/7/1985,Non-Fatal,Takeoff,VMC,"NEAR HOMEDALE, ID",Accident
4251,Probable Cause,10/8/1985,Fatal(2),Landing,VMC,"RUTH, CA",Accident
4252,Probable Cause,10/9/1985,Non-Fatal,Landing,VMC,"RED ROCK, AZ",Accident
4253,Probable Cause,10/10/1985,Non-Fatal,Landing,VMC,"VERBENA, AL",Accident
4254,Probable Cause,10/11/1985,Non-Fatal,Landing,VMC,"WILLIAMSBURG, VA",Accident
4255,Probable Cause,10/12/1985,Non-Fatal,Takeoff,VMC,"SPARTANBURG, SC",Accident
4256,Probable Cause,10/13/1985,Non-Fatal,Takeoff,VMC,"TAMPA, FL",Accident
4257,Probable Cause,10/14/1985,Non-Fatal,Maneuvering,VMC,"ROCKY FACE, GA",Accident
4258,Probable Cause,10/15/1985,Fatal(1),Maneuvering,VMC,"SNOHOMISH, WA",Accident
4259,Probable Cause,10/16/1985,Fatal(1),Takeoff,VMC,"PEMPBROKE PINES, FL",Accident
4260,Probable Cause,10/17/1985,Fatal(2),Cruise,VMC,"SAN LUIS OBISPO, CA",Accident
4261,Probable Cause,10/18/1985,Fatal(3),Cruise,IMC,"BEAUMONT, TX",Accident
4262,Probable Cause,10/19/1985,Non-Fatal,Landing,VMC,"CONWAY, SC",Accident
4263,Probable Cause,10/20/1985,Non-Fatal,Landing,VMC,"HUTCHINSON, KS",Accident
4264,Probable Cause,10/21/1985,Non-Fatal,Cruise,VMC,"TULARE, CA",Accident
4265,Probable Cause,10/22/1985,Non-Fatal,Landing,VMC,"NEAR SISTERS, OR",Accident
4266,Probable Cause,10/23/1985,Non-Fatal,Taxi,VMC,"AMERICAN FALLS, ID",Accident
4267,Probable Cause,10/24/1985,Non-Fatal,Taxi,VMC,"ANACORTES, WA",Accident
4268,Probable Cause,10/25/1985,Non-Fatal,Approach,VMC,"VERO BEACH, FL",Accident
4269,Probable Cause,10/26/1985,Non-Fatal,Landing,VMC,"CORONA, CA",Accident
4270,Probable Cause,10/27/1985,Non-Fatal,Taxi,VMC,"HAYDEN, CO",Accident
4271,Probable Cause,10/28/1985,Non-Fatal,Cruise,IMC,"INDIANAPOLIS, IN",Accident
4272,Probable Cause,10/29/1985,Non-Fatal,Landing,VMC,"PORT ALSWORTH, AK",Accident
4273,Probable Cause,10/30/1985,Non-Fatal,Landing,VMC,"STONY RIVER, AK",Accident
4274,Probable Cause,10/31/1985,Fatal(4),Approach,VMC,"DOVESVILLE, SC",Accident
4275,Probable Cause,11/1/1985,Non-Fatal,Taxi,VMC,"KETTLEMAN CITY, CA",Accident
4276,Probable Cause,11/2/1985,Non-Fatal,Taxi,VMC,"CARLISLE, AR",Accident
4277,Probable Cause,11/3/1985,Non-Fatal,Maneuvering,VMC,"DONNA, TX",Accident
4278,Probable Cause,11/4/1985,Non-Fatal,Takeoff,VMC,"SELAWIK, AK",Accident
4279,Probable Cause,11/5/1985,Non-Fatal,Landing,VMC,"AVON, CT",Accident
4280,Probable Cause,11/6/1985,Non-Fatal,Takeoff,VMC,"WELLSVILLE, NY",Accident
4281,Probable Cause,11/7/1985,Non-Fatal,Approach,VMC,"MARANA, AZ",Accident
4282,Probable Cause,11/8/1985,Fatal(2),Maneuvering,VMC,"WEAVERVILLE, CA",Accident
4283,Probable Cause,11/9/1985,Non-Fatal,Takeoff,VMC,"COULTERVILLE, IL",Accident
4284,Probable Cause,11/10/1985,Incident,Cruise,VMC,"LIBERTY, NC",Accident
4285,Probable Cause,11/11/1985,Non-Fatal,Go-around,VMC,"PAOLA, KS",Accident
4286,Probable Cause,17-10-2016,Fatal(1),Standing,VMC,"FENTON, MO",Incident
4287,Probable Cause,11/12/1985,Fatal(3),Takeoff,VMC,"FAIR OAKS, CA",Accident
4288,Probable Cause,11/13/1985,Non-Fatal,Descent,VMC,"GUADALUPE, CA",Accident
4289,Probable Cause,11/14/1985,Non-Fatal,Descent,VMC,"DELANO, CA",Accident
4290,Probable Cause,11/15/1985,Non-Fatal,Maneuvering,VMC,"HEMPSTEAD, TX",Accident
4291,Probable Cause,11/16/1985,Non-Fatal,Maneuvering,VMC,"GAINESVILLE, FL",Accident
4292,Probable Cause,11/17/1985,Non-Fatal,Landing,VMC,"SPENCER, MA",Accident
4293,Probable Cause,11/18/1985,Fatal(2),Climb,VMC,"HAWTHORNE, NY",Accident
4294,Probable Cause,11/19/1985,Non-Fatal,Cruise,IMC,"AUBURN, CA",Accident
4295,Probable Cause,11/20/1985,Fatal(2),Approach,IMC,"HUGO, OK",Accident
4296,Probable Cause,11/21/1985,Fatal(1),Approach,UNK,"WETUMPKA, AL",Accident
4297,Probable Cause,11/22/1985,Non-Fatal,Cruise,VMC,"RED BLUFF, CA",Accident
4298,Probable Cause,11/23/1985,Non-Fatal,Cruise,VMC,"LA JOLLA, CA",Accident
4299,Probable Cause,11/24/1985,Fatal(1),Maneuvering,VMC,"MINNEAPOLIS, MN",Incident
4300,Probable Cause,11/25/1985,Non-Fatal,Takeoff,VMC,"MOLINE, KS",Accident
4301,Probable Cause,11/26/1985,Incident,Descent,VMC,"KAISER, MO",Accident
4302,Probable Cause,11/27/1985,Non-Fatal,Cruise,VMC,"GLENDALE, AZ",Accident
4303,Probable Cause,11/28/1985,Non-Fatal,Go-around,VMC,"SAN JOSE, CA",Accident
4304,Probable Cause,11/29/1985,Non-Fatal,Takeoff,VMC,"SHREVEPORT, LA",Accident
4305,Probable Cause,11/30/1985,Non-Fatal,Approach,VMC,"CRESSON, TX",Accident
